乐信中铁	Lexin-CRTC	ZTXT01	中铁信托	CRTC Trust	0006	乐信	Lexin	ZT0102001584	中铁信托-普惠安心6号单一资金信托				WS0009200001	乐信-中铁一期	Lexin-CRT1	70000000	001906	二次借款-中铁一期	Lexin Refinancing-CRT1	vt_001902	乐花借钱-中铁一期	Lehua Loan-CRT1
乐信中铁	Lexin-CRTC	ZTXT01	中铁信托	CRTC Trust	0006	乐信	Lexin	ZT0102001584	中铁信托-普惠安心6号单一资金信托				WS0009200001	乐信-中铁一期	Lexin-CRT1	70000000	001907	赊销-中铁一期	Lexin Shexiao-CRT1			
乐信中铁	Lexin-CRTC	ZTXT01	中铁信托	CRTC Trust	0006	乐信	Lexin	ZT0102001584	中铁信托-普惠安心6号单一资金信托				WS0009200001	乐信-中铁一期	Lexin-CRT1	70000000	ZT0102001584	信托机构号-中铁一期	Lexin Shexiao-CRT1			
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	002001	乐花卡-国民二期	Lehua Card-NT2	vt_002001	乐花卡-国民二期	Lehua Card-NT2
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	002002	乐花借钱-国民二期	Lehua Loan-NT2	vt_002002	乐花借钱-国民二期	Lehua Loan-NT2
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	002003	账单分期-国民二期	Lexin Restructured Loan-NT2	vt_002003	账单分期-国民二期	Lexin Restructured Loan-NT2
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	002004	安逸花-国民二期	Lexin Anyihua-NT2			
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	002005	乐花借钱-先息后本-国民二期	Lexin Xianxihouben-NT2			
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	002006	二次借款-国民二期	Lexin Refinancing-NT2	vt_002002	乐花借钱-国民二期	Lehua Loan-NT2
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	002007	赊销-国民二期	Lexin Shexiao-NT2			
乐信国民	Lexin-NatTrust	GMXT01	国民信托	NatTrust	0006	乐信	Lexin	ZXD34G202009000009718	国民信托*诺信33号单一资金信托				WS0006200002	乐信-国民二期	Lexin-NT2	350000000	ZXD34G202009000009718	信托机构号-国民二期	Lexin Shexiao-NT2			
浦发云信	Pufa-YNTrust	YNXT01	云南信托	Yunnan Trust	10041	浦发	Pufa				pl00282	浦发银行-机构私募-消费贷-2019年第1期	pl00282	浦发-云信	Pufa-YNTrust	30000000	pl00282	浦发银行梦享金私募一期	Pufa Loan	vt_pl00282	浦发银行梦享金私募一期	Pufa Loan
易鑫民生	Yixin-MSFL	MSJZ01	民生金租	Minsheng Financial Leasing	0010	易鑫	Yixin						WS0010200001	易鑫民生	Yixin-MSFL	0	002101	易鑫新车车分期	Yixin New Vehicle Installment			
易鑫民生	Yixin-MSFL	MSJZ01	民生金租	Minsheng Financial Leasing	0010	易鑫	Yixin						WS0010200001	易鑫民生	Yixin-MSFL	0	002102	易鑫车抵贷	Yixin Vehicle Mortgage			
汇通	Huitong 	GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing						WS10043190002	汇通国银一期		0	002201	汇通车分期-非LCV新车	Huitong-Non-LCV New Car		汇通车分期-非LCV新车	Huitong-Non-LCV New Car
